Code,Type,Condition,Recovery
-208,hard error,HT compressor outlet gas too hot,The compressor outlet gas over temperature trip HT-stage has triggered. (cooling water connected wrong way around. Possible loss of refrigerant. Check HT refrigerant sight glass for bubbles
-209,hard error,LT compressor outlet gas too hot,The 'Compressor outlet gas over temperature trip LT-stage' has triggered. Possible loss of refrigerant. Check LT refrigerant sight glass for bubbles. Check cooling water flow and temperature
-210,hard error,Thermal contact in pump motor M2 (M2-F3) has triggered,Pump motor too hot. Possibly thermal fluid too viscous or motor bearing problems. Check power supply voltage and fluid used. check that motor rotates freely by hand Thermokontakt in Pumpenmotor M2 (M2-F3) hat ausgelöst
-211,hard error,Reporting contact of internal pump protection (KM2) has caused an alarm,The pump relay has apparently dropped out.  but controller does not know why. Check connections.  relay contact and for loose wires. Check everything which is in series with KM2 relay coil. Check controller by replacement. Superheat too small. Superheat monitor of the HT-stage for Unistat 925 / 930. Superheat too low (<3K) over a certain amount of time (200s). Refrigeration problem.  Check if fluid flow good and if fluid suitable for -90°C Check that compressors all running
-213,hard error,OT fault,A fault is reported by the Over Temp
-214,hard error,KM3 or KM3.1 dropped out,The larger compressors have a part winding start system using two relays. one of these has dropped out. HT compressor starting problem. Check controller by replacement. Check relay contacts and check power supply voltage on HT compressor
-215,hard error,Pump security – Heater over-temp,The heater became too hot. The temperature continued rising due to stored energy even after the machine was stopped by the OT safety system. This results in the pump over current relay being tripped to prevent possibility of a stuck pump operating relay causing it to continue running and adding heat to the system. Check over temperature setting. Reset motor protection switch by hand. Pump security - Fine heater over-temp. The Fine heater became too hot. The temperature continued rising due to stored energy even after the machine was stopped by the OT safety system. This results in the pump over current relay being tripped to prevent possibility of a stuck pump operating relay causing it to continue running and adding heat to the system. Check over temperature setting. Reset motor protection switch by hand. CAN-Bus timeout. The check to see if all CAN-modules are present was cancelled after a timeout (unknown problem) Some CAN modules not found
-218,hard error,DEM1 not found,DEM1 module (A16) cannot be found on the CAN-Bus although it should be present DEM1 nicht gefunden. sollte
-219,hard error,DEM2 not found,DEM2 module (A16.1) cannot be found on the CAN-Bus although it should be present DEM2 nicht gefunden
-220,hard error,DEM3 not found,DEM3 module (A16.2)cannot be found on the CAN-Bus although it should be present DEM3 nicht gefunden
-221,hard error,DEM4 not found,DEM4 module (A16.3) cannot be found on the CAN-Bus although it should be present DEM4 nicht gefunden
-222,hard error,DAM1 not found,DAM1 module (A17) cannot be found on the CAN-Bus although it should be present DAM1 nicht gefunden
-223,hard error,DAM2 not found,DAM2 module (A17.1) cannot be found on the CAN-Bus although it should be present DAM2 nicht gefunden
-224,hard error,DAM3 not found,DAM3 module (A17.2) cannot be found on the CAN-Bus although it should be present DAM3 nicht gefunden
-225,hard error,DAM4 not found,DAM4 module (A17.3) cannot be found on the CAN-Bus although it should be present DAM4 nicht gefunden
-226,hard error,contactor feedback KHK1.2 has caused an error,Relay dropped out but controller does not know why. Check connections and contacts
-227,hard error,contactor feedback KHK1.1 has caused an error,Relay dropped out but controller does not know why. Check connections and contacts
-228,hard error,contactor feedback KHK2.1 has caused an error,Relay dropped out but controller does not know why. Check connections and contacts
-229,hard error,contactor feedback KHK2.2 has caused an error,Relay dropped out but controller does not know why. Check connections and contacts
-230,hard error,contactor feedback KHK3.1 has caused an error,Relay dropped out but controller does not know why. Check connections and contacts
-231,hard error,contactor feedback KHK3.2 has caused an error,Relay dropped out but controller does not know why. Check connections and contacts
-232,hard error,contactor feedback KHK4.1 has caused an error,Relay dropped out but controller does not know why. Check connections and contacts
-233,hard error,contactor feedback KHK4.2 has caused an error,Relay dropped out but controller does not know why. Check connections and contacts
-234,hard error,Tandem compressor1 part-winding1 contactor (KM30) has an error,
-235,hard error,Tandem compressor1 part-winding2 contactor (KM30.1) has an error,
-236,hard error,Contactor Tandem compressor2 part-winding1 contactor (KM31) has an error,
-237,hard error,Tandem compressor2 part-winding2 contactor (KM31.1) has an error,
-238,hard error,HD-limiter Tandem compressor1 (F6M30) has triggered,Pressostat F6M30 has operated. Check water flow and temperature
-239,hard error,HD-limiter Tandem compressor2 (F6M31) has triggered,Pressostat F6M31 has operated. Check water flow and temperature
-240,hard error,Motor protection Tandem compressor1 (QV1.1-HT, QV2.2-HT) has triggered. Tandem compressor 1 Over current QV1.1-HT.  QV2.2-HT have tripped. Check supplies to compressor
-241,hard error,Motor protection Tandem compressor2 (QM31, QM31.1) has triggered. Tandem compressor 2 Over current QM31.  QM31.1 have tripped. Check supplies to compressor
-242,hard error,Thermistors in M3 (M3-T1) (Tandem compressor1) have triggered,Kriwan Compressor 1. Check compressor supplies and fans. Check water cooling ok. Check refrigerant sight glass for being full with no bubbles.
-243,hard error,Thermistors in M4 (M4-T1) (Tandem compressor2) have triggered,Kriwan Compressor 2. Check compressor supplies and fans. Check water cooling ok. Check refrigerant sight glass for being full with no bubbles
-244,hard error,Oil differential pressure switch Tandem compressor1 (F14M30) has triggered Compressor 1 oil pressure too low. Reset F14M30 by pressing red knob,
-245,hard error,Oil differential pressure switch Tandem compressor2 (F14M31) has triggered Compressor 2 oil pressure too low. Reset F14M31 by pressing red knob,
-246,hard error,DEM5 not found,The DEM5 did not give any feedback during the start-up phase even though it should have. Check connections. Check that at least some module LEDs are lit and no blinking red LEDs DEM5 nicht gefunden
-247,hard error,DEM5 does not respond anymore,Digital input module 5 no longer answers. Check connections. Check connections. Check that at least some module LEDs are lit and no blinking red LEDs
-248,hard error,The input 1 of the DEM5 is fluttering,Check connections to Digital input module 5
-249,hard error,The input 2 of the DEM5 is fluttering,Check connections to Digital input module 5
-250,hard error,The input 3 of the DEM5 is fluttering,Check connections to Digital input module 5
-251,hard error,The input 4 of the DEM5 is fluttering,Check connections to Digital input module 5
-252,hard error,DEM5 CAN-Bus timeout,The DEM5 has signalled that it has not received any data from the controller for more than 30s. Check connections to Digital input module 5. DEM5 CAN-Bus Timeout
-253,hard error,The DEM5 has reported an error,Check connections to Digital input module 5
-254,hard error,Stepper motor module 1 not found,The stepper motor module 1 was not recognized during initialisation. Check connections
-255,hard error,The stepper motor module1 does not respond anymore,Stepper motor module 1 no longer answers. Check connections
-256,hard error,Safety module 1 not found,The safety circuit module 1 was not recognized during initialisation. Check connections
-257,hard error,The safety circuit module 1 does not respond anymore,Safety module 1 no longer answers. Check connections
-258,hard error,T2M1 was not recognized during initialisation,
-259,hard error,T2M1 no longer answers,Check connections to second temperature module 1
-260,hard error,T2M2 was not recognized during initialisation,Check connections to T2M2
-261,hard error,T2M2 does not respond anymore Check connections to T2M2,
-262,hard error,The stepper motor module 1 signals: 'Hardware could not be recognised,
-263,hard error,The stepper motor module 1 signals: 'Wrong SimFile in module,The stepper motor module 1 signals: 'No CAN-communication' Schrittmotormodul 1 meldet: 'Keine CAN Kommunikation'
-265,hard error,The stepper motor module 1 has reported an error,
-266,hard error,The over temperature trip signals: 'reference current sensor PT1' Faulty Pt1000 (PT1) or Over-Temp board,
-267,hard error,
-268,hard error,
